Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
114 /OGEzMzhiKyhqCHRJWV98fndDfEtHGicoMlQqEw5WPDUzRz4dTggsMywVI0cGDDg0Ix8oHk4ZKHotDjkKG0x8BmBIC19aLzgwMlQ6CkYZI2J3PGsIDlRpNDJHfENaWWk0LUd8SlBZaTcmRyUOHBlqdARffzxNWwkwMg1jDRhHPytgSAtcGAg9eiAMKBQcTHwDKxwSCQsbICspX39MGAgoImBJCUtNW3kxIAhoSSxbf3ZzC3xfWl8pNSoUOR8GDRkiN19-PlpHfnZrS3pfWl8tJiYRKBQMPyo1YEkJSUZafWlzX39MGx8mI2BJCUNbDywicBl-VwpbenRoS3wfX0R2cHYbYE9aXHt3dUksH11bd2J3TD8bDAAgYnY-O0tNW3kmJw4oCRxMfAMxHz4OTVt6dAQKLAgNBztid09-OxsdLjMsHmAKCRsqKTFff0wMCmp0AUhoSF4HIWJ2PnxfWl8uJidIaEksWGkgKBMpRwsGGCYmGXooRhEHLGsCNxI6KmELIgocMFtRAAASADgDJyg3MSxCGDs8KD1pNk1rCgRUIDMtHz9cGgwkLiFHek1dXmk3MxMpRwsNLnB3HisYW1stcnwbL0sNUSxxYwxwT0Zd,1,117,117,117,"0,00","0,000%","8,54701","4,37","20,12","523,0"
115 /MjU0ZTVlKQV6QmpsZF9_WmQIY2N5HyUFIh49PTBTPhgjDSkzcA0uHjxfNGk4CToZM1U_MHAcKlc9RC4kJUl-K3ACHHFkKjodIh4tJHgcIU9ndnwmMFFrGSINa21kXGsZPQ1rZG5caxo2DTIgIhxoWRQVaBJzXgsdIkd0IyZCPQZwAhxyJg0_VzBGPzoiSX4uO1YFJzUeIgY5FWhiJg0qD3ADHmZzXnscMEJ_ZxJefVtjQWtxZForGDpeLjE4CBsPJxVpEGRCfFt7AW1xZFovCzZbPzoyOigYcAMeZ3hff0RjFWhiJRokDnADHm1lCi4PYFNpeTReeFl4AWsxYUF0XWZRd2FkWXlaZQM7MWNedU9nBig1MgUiT2Z0LGVzXnsLN0Q_JyJJfi4hVSkgc154WRRAOyYzAjlPZwVpFSUYLB48VHckNx4oBCEVaGIyD2hZEQJ_ZmACI09mdGtxZFosCzcCf2cSXWsNOFk-aTUDGgs2U20GeBQFAXtIIDwEL2MmMkALHmVUAi0CSi8tGS01HDwIDxUCLT9EJgd8JDpRIh49VShyJAkmAzENbWNjW2saI1k-aTUILF1nVDw2ZV4vX2xROGUzVC5cc0ZnYXhY,1,122,122,122,"0,00","0,000%","8,19672","4,22","19,29","527,0"
116 /ZGVkYTliPih5GWpnXlFrdm5TYGRDGjIoIUU-PQpWKTUgViozSgg5Mz8EN2kCDC00MA48MEoZPXo-Hy0kH0xpBnNZH3FeLy0wIUUuJEIZNmJkLX8mClR8NCFWaG1eWXw0PlZoZFRZfDc1VjEgGBl_dBdOaxJJWxwwIRx3IxxHKitzWR9yHAgoejMdPDoYTGkDOA0GJw8bNSs6TmtiHAg9InNYHWdJW2wxMxl8ZyhbanZgGmhxXl88NTkFLTECDQwiJE5qEF5Ha3Z4Wm5xXl84JjUAPDoIPz81c1gdZ0JaaGlgTmtiHx8zI3NYHW1fDzkiYwhqeQ5bb3R7WmgxW0RjcGUKdGFeXG53Zlg4MVlbYmJkXSs1CAA1YmUvL2VJW2wmNB88JxhMaQMiDiogSVtvdBcbOCYJBy5iZF5qFR8dOzM_D3QkDRs_KSJOa2IICn90Ell8ZloHNGJlL2hxXl87JjRZfGcoWHwgOwI9aQ8GDSY1CG4GQhESLHgTIzw-KnQLMRsIHl9RFQABESwtIygiMT9TDBU4KChpJVx_JABUNTM-DityHgwxLjJWbmNZXnw3IAI9aQ8NO3BkDz82X1s4cm8KO2UJUTlxcB1kYUJd,1,113,113,113,"0,00","0,000%","8,84956","4,55","20,83","527,0"
117 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
118 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
121 /success.txt,1,20,20,20,"0,00","0,000%","50,00000","18,75","14,99","384,0"
120 /ZmYyMTVjPgJ2C3lhZlxjXWpAeGB5GTICLlcqPTBVKR8vRD4zcAs5GTAWI2k4Dy0ePxwoMHAaPVAxDTkkJU9pLHxLC3FkLC0aLlc6JHgaNkhrP2smMFd8Hi5EfG1kWnweMUR8ZG5afB06RCUgIhp_XhhcfxJzWBwaLg5jIyZEKgF8SwtyJgsoUDwPKDoiT2kpNx8SJzUYNQE1XH9iJgs9CHxKCWFzWGwbPAtoZxJYalxvCHxxZFw8HzYXOTE4DgwIK1x-EGREa1x3SHpxZFw4DDoSKDoyPD8ffEoJZ3hZaENvXH9iJRwzCXxKCW1lDDkIbBp-eTRYb150SHwxYUdjWmoYYGFkX25daUosMWNYYkhrTz81MgM1SGo9O2VzWGwMOw0oJyJPaSktHD4gc1hvXhgJLCYzBC5Ia0x-FSUeOxkwHWAkNxg_Ay1cf2IyCX9eHUtoZmAENEhqPXxxZFw7DDtLaGcSW3wKNBApaTUFDQw6GnoGeBISBncBNzwEKXQhPgkcHmVSFSoOAzgtGSsiGzBBGBUCKyhDKk5rJDpXNRkxHD9yJA8xBD1EemNjXXwdLxApaTUOO1prHSs2ZVg4WGAYL2UzUjlbfw9wYXhe,1,141,141,141,"0,00","0,000%","7,09220","3,65","16,69","527,0"
119 /YzhmMjBiPRVHH31ccFhtS1xbfVJtGjEVH0MqAyRWKggeUD4NZAg6DgECI1csDC4JDggoDmQZPkcAGTkaMUxqO01fC09wLy4NH0M6GmwZNV9aK2sYJFR_CR9QfFNwWX8JAFB8WnpZfwoLUCUeNhl8SSlIfyxnWx8NHxpjHTJHKRZNXwtMMggrRw0bKAQ2TGo-BgsSGSEbNhYESH9cMgg-H01eCV5nW28MDR9oWQZbaUteHHxPcF8_CAcDOQ8sDQ8fGkh-LnBHaEtGXHpPcF87GwsGKAQmPzwITV4JWWxaa1ReSH9cMR8wHk1eCVNxDzofXQ5-RyBbbElFXHwPdURgTVsMYF9wXG1KWF4sD3dbYV9aWz8LJgA2X1spO1tnW28bChkoGTZMaj4cCD4eZ1tsSSkdLBgnBy1fWlh-KzEdOA4BCWAaIxs8FBxIf1wmCnxJLF9oWHQHN19bKXxPcF84GwpfaFkGWH8dBQQpVyEGDhsLDno4bBEREUYVNwIQKnc2Dx0cIHFRFj0_FzgTDSghDAFVGCsWKCtUG1prGi5UNg4ACD9MMAwyEwxQel13Xn8KHgQpVyENOE1aCSsIcVs7T1EML1snUTpMThtwX2xd,1,144,144,144,"0,00","0,000%","6,94444","3,55","16,34","523,0"
122 /MzMzZGIxKRViCGx1cUt7TXtNan5mCyUVOlQ9Li9HPgg7RykgbxkuDiQVNHonHToJKx8_I28IKkclDi43Ol1-O2hIHGJ7PjoNOlQtN2cIIV9_PHw1L0VrCTpHa357SGsJJUdrd3FIawouRzIzPQhoSQxfaAFsSgsNOg10MDlWPRZoSBxhORk_RygMPyk9XX4-IxwFNCoKIhYhX2hxORkqH2hJHnFsSnsMKAh_dA1KfUt7C2tie04rCCIULiInHBsfP19pA3tWfEtjS21ie04vGy4RPyktLigIaEkedGdLf1R7X2hxOg4kHmhJHn56Hi4feBlpaitKeElgS2siflV0TX4bd3J7TXlKfUk7InxKdV9_TCgmLREiX34-LHZsSnsbLw4_ND1dfj45HykzbEp4SQwKOzUsFjlff09pBjoMLA4kHnc3KAooFDlfaHEtG2hJCUh_dX8WI19-Pmtie04sGy9If3QNSWsdIBM-eioXGhsuGW0VZwAFEWMCIC8bO2M2KgoLDXpAAj0aAC8-Bjk1DCRCDwYdOT9UPk18NyVFIg4lHyhhOx0mEylHbXB8T2sKOxM-eiocLE1_HjwlekovT3QbOHYsQC5MawxncmdM,1,140,140,140,"0,00","0,000%","7,14286","3,68","16,81","527,0"
123 /OTBhMGM0KzttGnV_dAh-bHJQdHFiQyc7NUYqLisPPCY0VT4ga1EsICsHI3ojVTgnJA0oI2tAKGkqHDk3PhV8FWdaC2J_djgjNUY6N2NAI3FwLms1Kw1pJzVVfH5_AGknKlV8d3UAaSQhVSUzOUBqZwNNfwFoAgkjNR9jMD0ePzhnWgthPVE9aSceKCk5FXwQLA4SNC5CIDguTX9xPVEoMWdbCXBoAnkiJxpodAkCf2V0GXxifwYpJi0GOSIjVBkxME1-A38efmVsWXpifwYtNSEDKCkpZiomZ1sJdGMDfXp0TX9xPkYmMGdbCX5-Viwxdwt-ai8CemdvWXwieh12Y3EJYHJ_BXtkclssIngCd3FwXj8mKVkgcXEsO3ZoAnk1IBwoNDkVfBA2DT4zaAJ6ZwMYLDUoXjtxcF1-Bj5ELiArDGA3LEIqOjZNf3EpU2pnBlpodXteIXFxLHxifwYuNSBaaHQJAWkzLwEpei5fGDUhC3oVY0gHP2wQNy8fc2EYJRgcDX4IABMVEjg-AnE3IitQGAYZcT16MV9rNyENICAqDT9hP1UkPSZVenB4B2kkNAEpei5ULmNwDCslfgItYXsJL3YoCCxiZB5wcmME,1,158,158,158,"0,00","0,000%","6,32911","3,26","14,90","527,0"
